TransactionID,AccountID,IsAnomaly,AnomalyLabel
TX000001,AC00128,1,Normal
TX000002,AC00455,1,Normal
TX000003,AC00019,1,Normal
TX000004,AC00070,1,Normal
TX000005,AC00411,1,Normal
TX000006,AC00393,1,Normal
TX000007,AC00199,1,Normal
TX000008,AC00069,1,Normal
TX000009,AC00135,1,Normal
TX000010,AC00385,1,Normal
TX000011,AC00150,1,Normal
TX000012,AC00459,1,Normal
TX000013,AC00392,1,Normal
TX000014,AC00264,1,Normal
TX000015,AC00085,1,Normal
TX000016,AC00270,1,Normal
TX000017,AC00317,1,Normal
TX000018,AC00359,1,Normal
TX000019,AC00242,1,Normal
TX000020,AC00285,1,Normal
TX000021,AC00002,1,Normal
TX000022,AC00014,1,Normal
TX000023,AC00095,1,Normal
TX000024,AC00453,1,Normal
TX000025,AC00241,1,Normal
TX000026,AC00041,1,Normal
TX000027,AC00441,1,Normal
TX000028,AC00057,1,Normal
TX000029,AC00390,1,Normal
TX000030,AC00313,1,Normal
TX000031,AC00367,1,Normal
TX000032,AC00291,1,Normal
TX000033,AC00060,1,Normal
TX000034,AC00359,1,Normal
TX000035,AC00365,1,Normal
TX000036,AC00267,1,Normal
TX000037,AC00404,1,Normal
TX000038,AC00202,1,Normal
TX000039,AC00478,1,Normal
TX000040,AC00405,1,Normal
TX000041,AC00421,1,Normal
TX000042,AC00480,1,Normal
TX000043,AC00120,1,Normal
TX000044,AC00117,1,Normal
TX000045,AC00011,1,Normal
TX000046,AC00401,1,Normal
TX000047,AC00282,1,Normal
TX000048,AC00439,1,Normal
TX000049,AC00296,1,Normal
TX000050,AC00471,1,Normal
TX000051,AC00159,1,Normal
TX000052,AC00482,1,Normal
TX000053,AC00115,1,Normal
TX000054,AC00055,1,Normal
TX000055,AC00419,1,Normal
TX000056,AC00374,1,Normal
TX000057,AC00271,1,Normal
TX000058,AC00456,1,Normal
TX000059,AC00143,1,Normal
TX000060,AC00427,1,Normal
TX000061,AC00438,1,Normal
TX000062,AC00002,1,Normal
TX000063,AC00425,1,Normal
TX000064,AC00325,1,Normal
TX000065,AC00434,1,Normal
TX000066,AC00242,1,Normal
TX000067,AC00319,1,Normal
TX000068,AC00460,1,Normal
TX000069,AC00461,1,Normal
TX000070,AC00395,1,Normal
TX000071,AC00217,1,Normal
TX000072,AC00053,1,Normal
TX000073,AC00282,1,Normal
TX000074,AC00110,1,Normal
TX000075,AC00265,1,Normal
TX000076,AC00239,1,Normal
TX000077,AC00007,1,Normal
TX000078,AC00022,1,Normal
TX000079,AC00464,1,Normal
TX000080,AC00014,1,Normal
TX000081,AC00406,1,Normal
TX000082,AC00445,1,Normal
TX000083,AC00236,1,Normal
TX000084,AC00220,1,Normal
TX000085,AC00140,1,Normal
TX000086,AC00098,1,Normal
TX000087,AC00303,1,Normal
TX000088,AC00373,1,Normal
TX000089,AC00438,1,Normal
TX000090,AC00437,1,Normal
TX000091,AC00106,1,Normal
TX000092,AC00310,1,Normal
TX000093,AC00149,1,Normal
TX000094,AC00373,1,Normal
TX000095,AC00425,1,Normal
TX000096,AC00010,1,Normal
TX000097,AC00348,1,Normal
TX000098,AC00011,1,Normal
TX000099,AC00453,1,Normal
TX000100,AC00178,1,Normal
TX000101,AC00265,1,Normal
TX000102,AC00018,1,Normal
TX000103,AC00075,1,Normal
TX000104,AC00464,1,Normal
TX000105,AC00170,1,Normal
TX000106,AC00235,1,Normal
TX000107,AC00013,1,Normal
TX000108,AC00397,1,Normal
TX000109,AC00423,1,Normal
TX000110,AC00154,1,Normal
TX000111,AC00068,1,Normal
TX000112,AC00318,1,Normal
TX000113,AC00396,1,Normal
TX000114,AC00121,1,Normal
TX000115,AC00336,1,Normal
TX000116,AC00468,1,Normal
TX000117,AC00282,1,Normal
TX000118,AC00498,-1,Potential Fraud
TX000119,AC00085,1,Normal
TX000120,AC00092,1,Normal
TX000121,AC00295,1,Normal
TX000122,AC00358,1,Normal
TX000123,AC00311,1,Normal
TX000124,AC00066,1,Normal
TX000125,AC00340,1,Normal
TX000126,AC00284,1,Normal
TX000127,AC00208,1,Normal
TX000128,AC00176,1,Normal
TX000129,AC00053,1,Normal
TX000130,AC00320,1,Normal
TX000131,AC00382,1,Normal
TX000132,AC00384,1,Normal
TX000133,AC00203,1,Normal
TX000134,AC00498,1,Normal
TX000135,AC00349,1,Normal
TX000136,AC00177,1,Normal
TX000137,AC00284,1,Normal
TX000138,AC00272,1,Normal
TX000139,AC00405,1,Normal
TX000140,AC00385,1,Normal
TX000141,AC00403,1,Normal
TX000142,AC00114,1,Normal
TX000143,AC00163,1,Normal
TX000144,AC00108,1,Normal
TX000145,AC00397,1,Normal
TX000146,AC00434,1,Normal
TX000147,AC00385,1,Normal
TX000148,AC00161,-1,Potential Fraud
TX000149,AC00333,1,Normal
TX000150,AC00279,1,Normal
TX000151,AC00072,1,Normal
TX000152,AC00242,1,Normal
TX000153,AC00303,1,Normal
TX000154,AC00442,1,Normal
TX000155,AC00087,1,Normal
TX000156,AC00174,1,Normal
TX000157,AC00421,1,Normal
TX000158,AC00111,1,Normal
TX000159,AC00275,1,Normal
TX000160,AC00492,1,Normal
TX000161,AC00380,1,Normal
TX000162,AC00227,1,Normal
TX000163,AC00257,1,Normal
TX000164,AC00062,1,Normal
TX000165,AC00383,1,Normal
TX000166,AC00182,1,Normal
TX000167,AC00478,1,Normal
TX000168,AC00332,1,Normal
TX000169,AC00202,1,Normal
TX000170,AC00331,1,Normal
TX000171,AC00474,1,Normal
TX000172,AC00268,1,Normal
TX000173,AC00247,1,Normal
TX000174,AC00298,1,Normal
TX000175,AC00106,1,Normal
TX000176,AC00035,1,Normal
TX000177,AC00363,1,Normal
TX000178,AC00273,1,Normal
TX000179,AC00156,1,Normal
TX000180,AC00010,1,Normal
TX000181,AC00036,1,Normal
TX000182,AC00149,1,Normal
TX000183,AC00225,1,Normal
TX000184,AC00077,1,Normal
TX000185,AC00440,1,Normal
TX000186,AC00321,1,Normal
TX000187,AC00099,1,Normal
TX000188,AC00258,1,Normal
TX000189,AC00132,1,Normal
TX000190,AC00113,1,Normal
TX000191,AC00396,1,Normal
TX000192,AC00099,1,Normal
TX000193,AC00265,1,Normal
TX000194,AC00047,1,Normal
TX000195,AC00005,1,Normal
TX000196,AC00363,1,Normal
TX000197,AC00426,1,Normal
TX000198,AC00107,1,Normal
TX000199,AC00237,1,Normal
TX000200,AC00358,1,Normal
TX000201,AC00113,1,Normal
TX000202,AC00010,1,Normal
TX000203,AC00499,1,Normal
TX000204,AC00380,1,Normal
TX000205,AC00452,1,Normal
TX000206,AC00020,1,Normal
TX000207,AC00181,1,Normal
TX000208,AC00370,1,Normal
TX000209,AC00453,1,Normal
TX000210,AC00339,1,Normal
TX000211,AC00249,1,Normal
TX000212,AC00479,1,Normal
TX000213,AC00301,1,Normal
TX000214,AC00380,1,Normal
TX000215,AC00130,1,Normal
TX000216,AC00006,1,Normal
TX000217,AC00096,1,Normal
TX000218,AC00108,1,Normal
TX000219,AC00070,1,Normal
TX000220,AC00417,1,Normal
TX000221,AC00391,1,Normal
TX000222,AC00414,1,Normal
TX000223,AC00004,1,Normal
TX000224,AC00047,1,Normal
TX000225,AC00198,1,Normal
TX000226,AC00314,1,Normal
TX000227,AC00212,1,Normal
TX000228,AC00115,1,Normal
TX000229,AC00055,1,Normal
TX000230,AC00427,1,Normal
TX000231,AC00401,1,Normal
TX000232,AC00430,1,Normal
TX000233,AC00299,1,Normal
TX000234,AC00345,1,Normal
TX000235,AC00430,1,Normal
TX000236,AC00175,1,Normal
TX000237,AC00177,1,Normal
TX000238,AC00225,1,Normal
TX000239,AC00394,1,Normal
TX000240,AC00026,1,Normal
TX000241,AC00076,1,Normal
TX000242,AC00215,1,Normal
TX000243,AC00202,1,Normal
TX000244,AC00400,1,Normal
TX000245,AC00004,1,Normal
TX000246,AC00260,1,Normal
TX000247,AC00415,1,Normal
TX000248,AC00337,1,Normal
TX000249,AC00253,1,Normal
TX000250,AC00126,1,Normal
TX000251,AC00304,1,Normal
TX000252,AC00470,1,Normal
TX000253,AC00041,1,Normal
TX000254,AC00442,1,Normal
TX000255,AC00430,1,Normal
TX000256,AC00258,1,Normal
TX000257,AC00073,1,Normal
TX000258,AC00430,1,Normal
TX000259,AC00363,1,Normal
TX000260,AC00307,1,Normal
TX000261,AC00085,1,Normal
TX000262,AC00448,1,Normal
TX000263,AC00194,1,Normal
TX000264,AC00319,1,Normal
TX000265,AC00366,1,Normal
TX000266,AC00338,1,Normal
TX000267,AC00178,-1,Potential Fraud
TX000268,AC00424,1,Normal
TX000269,AC00147,1,Normal
TX000270,AC00171,1,Normal
TX000271,AC00023,1,Normal
TX000272,AC00263,1,Normal
TX000273,AC00423,1,Normal
TX000274,AC00455,1,Normal
TX000275,AC00454,-1,Potential Fraud
TX000276,AC00055,1,Normal
TX000277,AC00403,1,Normal
TX000278,AC00220,1,Normal
TX000279,AC00009,1,Normal
TX000280,AC00445,1,Normal
TX000281,AC00133,1,Normal
TX000282,AC00362,1,Normal
TX000283,AC00026,1,Normal
TX000284,AC00387,-1,Potential Fraud
TX000285,AC00451,1,Normal
TX000286,AC00033,1,Normal
TX000287,AC00087,1,Normal
TX000288,AC00159,1,Normal
TX000289,AC00177,1,Normal
TX000290,AC00093,1,Normal
TX000291,AC00427,1,Normal
TX000292,AC00284,1,Normal
TX000293,AC00189,1,Normal
TX000294,AC00495,1,Normal
TX000295,AC00148,1,Normal
TX000296,AC00272,1,Normal
TX000297,AC00381,1,Normal
TX000298,AC00110,1,Normal
TX000299,AC00495,1,Normal
TX000300,AC00035,1,Normal
TX000301,AC00119,1,Normal
TX000302,AC00488,1,Normal
TX000303,AC00466,1,Normal
TX000304,AC00489,1,Normal
TX000305,AC00306,1,Normal
TX000306,AC00431,1,Normal
TX000307,AC00233,1,Normal
TX000308,AC00389,1,Normal
TX000309,AC00067,1,Normal
TX000310,AC00300,1,Normal
TX000311,AC00386,1,Normal
TX000312,AC00285,1,Normal
TX000313,AC00219,1,Normal
TX000314,AC00445,1,Normal
TX000315,AC00371,1,Normal
TX000316,AC00164,1,Normal
TX000317,AC00200,1,Normal
